fingerprint,line_count,file,directory,start_line,end_line
2d470c299e692d1e4f499f73c4cb7228,4,macros/ShareModal.html,macros/,65,68
ca35851976f7b999b0f74682128f969a,4,templates/type/template/edit.html,templates/type/template/,31,36
ca35851976f7b999b0f74682128f969a,4,templates/type/author/edit.html,templates/type/author/,102,107
f8b4f04686f4af6eb62bc57d6760f418,4,templates/search/publishers.html,templates/search/,26,29
f8b4f04686f4af6eb62bc57d6760f418,4,templates/languages/index.html,templates/languages/,13,16
f8b4f04686f4af6eb62bc57d6760f418,4,templates/books/check.html,templates/books/,37,40
f8b4f04686f4af6eb62bc57d6760f418,4,templates/authors/index.html,templates/authors/,37,40
7179b2efcdba062157141647fc585095,4,templates/admin/people/view.html,templates/admin/people/,153,156
7179b2efcdba062157141647fc585095,4,templates/admin/people/index.html,templates/admin/people/,38,41
e11f07f1db03c401dab3fd9d8e1aae46,4,templates/stats/readinglog.html,templates/stats/,43,46
e11f07f1db03c401dab3fd9d8e1aae46,4,templates/stats/readinglog.html,templates/stats/,26,29
e11f07f1db03c401dab3fd9d8e1aae46,4,templates/stats/readinglog.html,templates/stats/,9,12
dcb9c985e47dc153073554e2f4b1d444,4,templates/account/notes.html,templates/account/,65,68
dcb9c985e47dc153073554e2f4b1d444,4,templates/account/mybooks.html,templates/account/,212,215
f64c2ba1a5871b6bfc1af2f5a6d410c2,4,macros/RecentChangesUsers.html,macros/,19,23
f64c2ba1a5871b6bfc1af2f5a6d410c2,4,macros/RecentChangesAdmin.html,macros/,20,24
354d11215b866ecac369635346b4580d,4,templates/account/email/forgot.html,templates/account/email/,40,43
354d11215b866ecac369635346b4580d,4,templates/account/email/forgot-ia.html,templates/account/email/,35,38
c9b20c905db282c9702b153b281d1d86,4,templates/books/edit/about.html,templates/books/edit/,70,73
c9b20c905db282c9702b153b281d1d86,4,templates/books/edit/about.html,templates/books/edit/,59,62
c9b20c905db282c9702b153b281d1d86,4,templates/books/edit/about.html,templates/books/edit/,48,51
c9b20c905db282c9702b153b281d1d86,4,templates/books/edit/about.html,templates/books/edit/,37,40
775683d48e4235b2a5c1e1d9c2f08d64,4,templates/covers/manage.html,templates/covers/,20,23
775683d48e4235b2a5c1e1d9c2f08d64,4,admin/templates/admin/index.html,admin/templates/admin/,20,23
532ac751ad6d73cae732643b023cfec6,4,templates/search/subjects.html,templates/search/,36,39
532ac751ad6d73cae732643b023cfec6,4,templates/search/authors.html,templates/search/,34,37
1209168efd6daed3e91c97c0b3b94f2e,4,templates/covers/book_cover.html,templates/covers/,42,46
1209168efd6daed3e91c97c0b3b94f2e,4,macros/databarAuthor.html,macros/,24,27
9fc1ac4ae6db18cf97a7f6ca118c3f7b,4,templates/my_books/dropdown_content.html,templates/my_books/,75,78
9fc1ac4ae6db18cf97a7f6ca118c3f7b,4,macros/databarAuthor.html,macros/,27,30
9fc1ac4ae6db18cf97a7f6ca118c3f7b,4,macros/CreateListModal.html,macros/,2,5
c5562f9dc66e9ea5dbd9d36b6f0702dd,4,macros/SearchResultsWork.html,macros/,53,57
c5562f9dc66e9ea5dbd9d36b6f0702dd,4,macros/IABook.html,macros/,13,17
6488368bbaf4aa0427d0aab6c94686a9,4,templates/lib/markdown.html,templates/lib/,20,23
6488368bbaf4aa0427d0aab6c94686a9,4,templates/history.html,templates/,32,35
58cb5b168fdb599733afb1335bed3ed0,4,templates/recentchanges/render.html,templates/recentchanges/,3,6
58cb5b168fdb599733afb1335bed3ed0,4,templates/admin/people/edits.html,templates/admin/people/,5,8
7229b9dbae38fa1010d3d4d3011533e5,4,templates/tag/add.html,templates/tag/,63,66
7229b9dbae38fa1010d3d4d3011533e5,4,templates/support.html,templates/,66,69
7229b9dbae38fa1010d3d4d3011533e5,4,templates/my_books/dropdown_content.html,templates/my_books/,103,106
7229b9dbae38fa1010d3d4d3011533e5,4,templates/merge/authors.html,templates/merge/,115,120
7229b9dbae38fa1010d3d4d3011533e5,4,templates/books/add.html,templates/books/,104,107
7229b9dbae38fa1010d3d4d3011533e5,4,templates/admin/solr.html,templates/admin/,38,41
7229b9dbae38fa1010d3d4d3011533e5,4,templates/admin/ip/view.html,templates/admin/ip/,89,93
7229b9dbae38fa1010d3d4d3011533e5,4,templates/admin/imports-add.html,templates/admin/,25,28
7229b9dbae38fa1010d3d4d3011533e5,4,templates/admin/attach_debugger.html,templates/admin/,19,22
7229b9dbae38fa1010d3d4d3011533e5,4,templates/account/privacy.html,templates/account/,72,75
7229b9dbae38fa1010d3d4d3011533e5,4,templates/account/password/reset.html,templates/account/password/,21,26
7229b9dbae38fa1010d3d4d3011533e5,4,templates/account/password/forgot.html,templates/account/password/,20,23
7229b9dbae38fa1010d3d4d3011533e5,4,templates/account/notifications.html,templates/account/,52,55
7229b9dbae38fa1010d3d4d3011533e5,4,templates/account/email/forgot-ia.html,templates/account/email/,40,43
c9ce1d6dcd4ecd4d71004da5dc804904,4,templates/account/mybooks.html,templates/account/,211,214
c9ce1d6dcd4ecd4d71004da5dc804904,4,templates/account/mybooks.html,templates/account/,150,153
52c72344e06896995e5bca362673cb45,4,templates/books/edit/web.html,templates/books/edit/,29,32
52c72344e06896995e5bca362673cb45,4,admin/templates/admin/index.html,admin/templates/admin/,216,219
4a0f8ac778ecbe026a4ddca546bbef4a,4,templates/books/show.html,templates/books/,14,17
4a0f8ac778ecbe026a4ddca546bbef4a,4,macros/SearchResults.html,macros/,27,30
0fce5a605b40a4a686ad9330c806e3a8,4,templates/admin/sponsorship.html,templates/admin/,80,85
0fce5a605b40a4a686ad9330c806e3a8,4,templates/admin/sponsorship.html,templates/admin/,53,58
0fce5a605b40a4a686ad9330c806e3a8,4,templates/admin/sponsorship.html,templates/admin/,21,26
d4fe53d86cdc7f7f22b419597777f871,4,templates/recentchanges/merge/view.html,templates/recentchanges/merge/,1,4
d4fe53d86cdc7f7f22b419597777f871,4,templates/recentchanges/merge/path.html,templates/recentchanges/merge/,1,5
6dc111ddd2b28a7a7db954d88215d923,4,templates/books/edit/excerpts.html,templates/books/edit/,32,36
6dc111ddd2b28a7a7db954d88215d923,4,templates/books/edit/about.html,templates/books/edit/,61,65
a2abfc9239c6b3ce9ebf59b2fd422dfd,4,templates/tag/add.html,templates/tag/,25,29
a2abfc9239c6b3ce9ebf59b2fd422dfd,4,templates/books/edit/about.html,templates/books/edit/,18,22
95422ce15db45c446f48ee89e7197041,4,macros/RecentChangesUsers.html,macros/,33,36
95422ce15db45c446f48ee89e7197041,4,macros/RecentChanges.html,macros/,30,33
da1fd05b7b0ddadc847a9619769dd4a1,4,templates/recentchanges/edit-book/path.html,templates/recentchanges/edit-book/,1,5
da1fd05b7b0ddadc847a9619769dd4a1,4,templates/recentchanges/add-book/path.html,templates/recentchanges/add-book/,1,5
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,198,201
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,190,193
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,181,184
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,172,175
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,164,167
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,149,152
7a9d76044f07e1212092ae0f10b77334,4,templates/account/mybooks.html,templates/account/,139,142
776930fc7607fc25fe9fa0548d6f443c,4,templates/admin/loans_table.html,templates/admin/,19,22
776930fc7607fc25fe9fa0548d6f443c,4,templates/account/loans.html,templates/account/,139,142
776930fc7607fc25fe9fa0548d6f443c,4,templates/account/loans.html,templates/account/,55,58
78a28bbb7b537fc1dd63acb92f6625ab,4,templates/type/edition/view.html,templates/type/edition/,227,230
78a28bbb7b537fc1dd63acb92f6625ab,4,macros/databarView.html,macros/,7,10
