fingerprint,line_count,file,directory,start_line,end_line
a543024c146111b35c1a0d9b2a64cf53,4,plugins/openlibrary/js/merge-request-table/MergeRequestService.js,plugins/openlibrary/js/merge-request-table/,41,45
a543024c146111b35c1a0d9b2a64cf53,4,plugins/openlibrary/js/merge-request-table/MergeRequestService.js,plugins/openlibrary/js/merge-request-table/,10,14
24b37bb6acbbf8b8be2e8c7b9888ca2d,4,plugins/openlibrary/js/search.js,plugins/openlibrary/js/,58,61
24b37bb6acbbf8b8be2e8c7b9888ca2d,4,plugins/openlibrary/js/covers.js,plugins/openlibrary/js/,10,14
3e2f76098d5a6bb9e52436ebc630d188,4,plugins/openlibrary/js/readmore.js,plugins/openlibrary/js/,49,54
3e2f76098d5a6bb9e52436ebc630d188,4,plugins/openlibrary/js/readmore.js,plugins/openlibrary/js/,44,49
a81367fb29112252f8d2573642b328ab,4,plugins/openlibrary/js/my-books/MyBooksDropper/ReadingLists.js,plugins/openlibrary/js/my-books/MyBooksDropper/,155,158
a81367fb29112252f8d2573642b328ab,4,plugins/openlibrary/js/banner/index.js,plugins/openlibrary/js/banner/,31,34
547a992eed536a1fac18bd5c4fbbff41,4,plugins/openlibrary/js/merge-request-table/MergeRequestTable/TableRow.js,plugins/openlibrary/js/merge-request-table/MergeRequestTable/,61,79
547a992eed536a1fac18bd5c4fbbff41,4,plugins/openlibrary/js/merge-request-table/MergeRequestTable/TableHeader.js,plugins/openlibrary/js/merge-request-table/MergeRequestTable/,30,49
8c531ff7026feed76cb50c5734ddc418,4,plugins/openlibrary/js/bulk-tagger/models/Tag.js,plugins/openlibrary/js/bulk-tagger/models/,44,48
8c531ff7026feed76cb50c5734ddc418,4,plugins/openlibrary/js/bulk-tagger/models/Tag.js,plugins/openlibrary/js/bulk-tagger/models/,38,42
0e8a6a4a92dc361b929d03a41b0b0a4a,4,plugins/openlibrary/js/realtime_account_validation.js,plugins/openlibrary/js/,83,86
0e8a6a4a92dc361b929d03a41b0b0a4a,4,plugins/openlibrary/js/realtime_account_validation.js,plugins/openlibrary/js/,61,64
0e8a6a4a92dc361b929d03a41b0b0a4a,4,plugins/openlibrary/js/realtime_account_validation.js,plugins/openlibrary/js/,35,38
381fdcea5a8ae8ea597e085ef3fc411d,4,plugins/openlibrary/js/ile/utils/ol.js,plugins/openlibrary/js/ile/utils/,33,36
381fdcea5a8ae8ea597e085ef3fc411d,4,plugins/openlibrary/js/ile/utils/ol.js,plugins/openlibrary/js/ile/utils/,14,17
6d161318a5b18bd30e0f8855fe591bcc,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,195,198
6d161318a5b18bd30e0f8855fe591bcc,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,162,165
6d161318a5b18bd30e0f8855fe591bcc,4,plugins/openlibrary/js/graphs/options.js,plugins/openlibrary/js/graphs/,45,48
6d161318a5b18bd30e0f8855fe591bcc,4,plugins/openlibrary/js/graphs/options.js,plugins/openlibrary/js/graphs/,18,21
462b5c2c3aee6cdc6983ea2429d8f3de,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,238,241
462b5c2c3aee6cdc6983ea2429d8f3de,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,201,207
21b25778395b4d08134b3e47514c08bc,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,95,108
21b25778395b4d08134b3e47514c08bc,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,68,81
d0ebbe468c958666f05a7fd0646e5b96,4,components/ObservationForm/ObservationService.js,components/ObservationForm/,50,53
